time,node,valid,tracked,px,py,pz,qx,qy,qz,qw,trigger,axisX,axisY
364.673,Head,True,True,0.06118109,-0.05739248,-0.1658474,0.2979373,0.009926778,0.01274786,0.9544487,0,0,0
364.673,LeftHand,True,True,-0.1011633,-0.4727811,-0.06456256,-0.2395203,-0.02279004,0.2183256,0.9457508,0,0,0
364.673,RightHand,True,True,0.20297,-0.4649349,-0.04366951,-0.3136198,-0.03782393,-0.2605137,0.9123293,0,0,0
364.896,Head,True,True,0.0608869,-0.05025387,-0.1738942,0.2702193,0.005355091,0.0118255,0.9627113,0,0,0
364.896,LeftHand,True,True,-0.09956617,-0.4673852,-0.06645963,-0.2235822,-0.03407155,0.218958,0.9491615,0,0,0
364.896,RightHand,True,True,0.2033097,-0.4670035,-0.04372147,-0.3071592,-0.03120888,-0.2626219,0.9141712,0,0,0
365.127,Head,True,True,0.06027542,-0.04778862,-0.1734492,0.2634676,0.00307456,0.01423127,0.9645584,0,0,0
365.127,LeftHand,True,True,-0.09957793,-0.4680204,-0.06680666,-0.221095,-0.03587288,0.2252318,0.9482093,0,0,0
365.127,RightHand,True,True,0.2081131,-0.4677946,-0.04055123,-0.2928686,-0.007745171,-0.3050973,0.9061367,0,0,0
365.331,Head,True,True,0.06048135,-0.04745746,-0.1731193,0.2638834,0.003694027,0.01399056,0.9644461,0,0,0
365.331,LeftHand,True,True,-0.09999075,-0.4697183,-0.0666208,-0.2201025,-0.03837553,0.2552747,0.9407003,0,0,0
365.331,RightHand,True,True,0.207774,-0.4710552,-0.0337225,-0.2793949,0.03116747,-0.3931489,0.8754433,0,0,0
365.562,Head,True,True,0.05980266,-0.04791975,-0.1755473,0.2649915,0.001820173,0.01442739,0.9641411,0,0,0
365.562,LeftHand,True,True,-0.1012115,-0.4704599,-0.06657041,-0.2225246,-0.03383283,0.2583058,0.9394766,0,0,0
365.562,RightHand,True,True,0.2052588,-0.4681568,-0.03467853,-0.2806824,0.03001461,-0.3892187,0.8768268,0,0,0
365.763,Head,True,True,0.05953466,-0.04791951,-0.1756679,0.2658598,-0.0002987013,0.01550684,0.9638869,0,0,0
365.763,LeftHand,True,True,-0.1017336,-0.4717194,-0.06652535,-0.2255923,-0.03068909,0.2598494,0.9384267,0,0,0
365.763,RightHand,True,True,0.205569,-0.4687415,-0.03454012,-0.2809169,0.03022355,-0.389171,0.8767658,0,0,0
366.003,Head,True,True,0.06055709,-0.04871464,-0.1749991,0.2695243,-0.0003763232,0.01503073,0.9628762,0,0,0
366.003,LeftHand,True,True,-0.1022372,-0.473327,-0.06637461,-0.2299787,-0.02787155,0.2665191,0.9355749,0,0,0
366.003,RightHand,True,True,0.2057894,-0.4682434,-0.03469468,-0.2808646,0.03039302,-0.3895634,0.8766024,0,0,0
366.230,Head,True,True,0.06052742,-0.05015886,-0.1748902,0.274033,-0.001304871,0.01509337,0.961601,0,0,0
366.230,LeftHand,True,True,-0.1023474,-0.47309,-0.06675658,-0.2286917,-0.02812396,0.276094,0.933103,0,0,0
366.230,RightHand,True,True,0.2067721,-0.4668536,-0.03583236,-0.2772903,0.02788879,-0.3915744,0.8769275,0,0,0
366.463,Head,True,True,0.05877439,-0.05152929,-0.1736292,0.2784642,-0.002564022,0.01821196,0.9602705,0,0,0
366.463,LeftHand,True,True,-0.102529,-0.4726143,-0.06686681,-0.2239925,-0.03035529,0.2910924,0.929608,0,0,0
366.463,RightHand,True,True,0.2086659,-0.4663296,-0.03636148,-0.2713751,0.02063327,-0.3926249,0.8785076,0,0,0
366.688,Head,True,True,0.05839227,-0.05316091,-0.1724844,0.2843444,-0.002763551,0.01909129,0.9585282,0,0,0
366.688,LeftHand,True,True,-0.1023258,-0.4681156,-0.06702668,-0.2230449,-0.03170528,0.2934175,0.9290597,0,0,0
366.688,RightHand,True,True,0.2093744,-0.4661895,-0.03662027,-0.2691649,0.0176825,-0.3942297,0.8785332,0,0,0
366.922,Head,True,True,0.05889329,-0.05165577,-0.1728804,0.2791274,-0.0006679596,0.01684265,0.9601061,0,0,0
366.922,LeftHand,True,True,-0.1020894,-0.469947,-0.0673032,-0.2228781,-0.03179599,0.2940825,0.9288864,0,0,0
366.922,RightHand,True,True,0.2109342,-0.4671397,-0.0366455,-0.2660923,0.007705906,-0.403159,0.875556,0,0,0
367.124,Head,True,True,0.0595137,-0.04738557,-0.1747525,0.2638105,0.001900386,0.01560409,0.9644464,0,0,0
367.124,LeftHand,True,True,-0.1021639,-0.4704441,-0.06736124,-0.2226082,-0.0312551,0.2949966,0.9286796,0,0,0
367.124,RightHand,True,True,0.2130317,-0.4690893,-0.03652912,-0.2600315,-0.00183496,-0.4250598,0.8670089,0,0,0
367.334,Head,True,True,0.06147136,-0.04074907,-0.177934,0.2398823,0.007321932,0.01300786,0.9706872,0,0,0
