time,node,valid,tracked,px,py,pz,qx,qy,qz,qw,trigger,axisX,axisY
424.266,Head,True,True,-0.01835554,0.06016922,0.1333649,-0.1816473,-0.1266325,-0.0116392,0.9751067,0,0,0
424.266,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
424.266,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
424.481,Head,True,True,-0.01671711,0.06008327,0.13235,-0.1824811,-0.1229345,-0.01272199,0.9754106,0,0,0
424.481,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
424.481,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
424.693,Head,True,True,-0.01702528,0.05967093,0.1332593,-0.1815725,-0.1237326,-0.0127294,0.9754792,0,0,0
424.693,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
424.693,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
424.907,Head,True,True,-0.01727088,0.05856216,0.134794,-0.1782224,-0.1258193,-0.01398222,0.9758129,0,0,0
424.907,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
424.907,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
425.127,Head,True,True,-0.01621277,0.05852473,0.135329,-0.1777686,-0.1231837,-0.01460592,0.9762228,0,0,0
425.127,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
425.127,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
425.344,Head,True,True,-0.01610637,0.05881727,0.1353134,-0.1778178,-0.1235805,-0.01533234,0.9761525,0,0,0
425.344,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
425.344,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
425.560,Head,True,True,-0.0165598,0.0585916,0.1353854,-0.1772146,-0.1235033,-0.01533537,0.9762719,0,0,0
425.560,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
425.560,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
425.766,Head,True,True,-0.01748546,0.05890405,0.1352336,-0.1778349,-0.124143,-0.01521224,0.9760799,0,0,0
425.766,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
425.766,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
425.981,Head,True,True,-0.01805028,0.05876505,0.1354652,-0.1772658,-0.125026,-0.01543569,0.9760671,0,0,0
425.981,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
425.981,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
426.184,Head,True,True,-0.01762471,0.05912542,0.1349684,-0.1776552,-0.1247673,-0.01600729,0.9760203,0,0,0
426.184,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
426.184,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
426.395,Head,True,True,-0.01715442,0.05951548,0.13472,-0.1779192,-0.1230392,-0.01688591,0.9761767,0,0,0
426.395,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
426.395,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
426.603,Head,True,True,-0.01800913,0.05935383,0.134289,-0.1770434,-0.1248043,-0.01659492,0.9761169,0,0,0
426.603,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
426.603,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
426.818,Head,True,True,-0.01793626,0.05904186,0.1345406,-0.1765938,-0.1250271,-0.0161497,0.9761773,0,0,0
426.818,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
426.818,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
427.034,Head,True,True,-0.01706663,0.05861115,0.1349686,-0.1762927,-0.1247314,-0.01705388,0.9762542,0,0,0
427.034,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
427.034,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
427.243,Head,True,True,-0.0187792,0.05753565,0.1347206,-0.1748483,-0.1288911,-0.01558701,0.9759981,0,0,0
427.243,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
427.243,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
427.446,Head,True,True,-0.01928475,0.0574019,0.1342967,-0.1748724,-0.1296607,-0.01504633,0.9759003,0,0,0
427.446,LeftHand,True,False,0,0,0,0,0,0,1,0,0,0
427.446,RightHand,True,False,0,0,0,0,0,0,1,0,0,0
