time,node,valid,tracked,px,py,pz,qx,qy,qz,qw,trigger,axisX,axisY
2866.692,Head,True,True,0.3438933,0.1175369,-0.4461891,-0.6939734,0.005574525,0.6749593,-0.2505988,0,0,0
2866.692,LeftHand,True,True,0,0,0,-0.4126466,0.4882165,-0.2120197,0.7391989,0,0,0
2866.692,RightHand,True,True,0,0,0,-0.3957238,0.4463458,-0.3728333,0.7107555,0,0,0
2866.910,Head,True,True,0.3442672,0.117674,-0.4462562,-0.6923519,0.00398411,0.6749301,-0.2551518,0,0,0
2866.910,LeftHand,True,True,0,0,0,-0.4126466,0.4882165,-0.2120197,0.7391989,0,0,0
2866.910,RightHand,True,True,0,0,0,-0.3957238,0.4463458,-0.3728333,0.7107555,0,0,0
2867.110,Head,True,True,0.3446772,0.1178243,-0.4463297,-0.6905543,0.002232204,0.6748779,-0.2601338,0,0,0
2867.110,LeftHand,True,True,0,0,0,-0.4126466,0.4882165,-0.2120197,0.7391989,0,0,0
2867.110,RightHand,True,True,0,0,0,-0.3957238,0.4463458,-0.3728333,0.7107555,0,0,0
2867.327,Head,True,True,0.3451247,0.1179885,-0.44641,-0.6885681,0.0003095499,0.6747969,-0.265562,0,0,0
2867.327,LeftHand,True,True,0,0,0,-0.4126466,0.4882165,-0.2120197,0.7391989,0,0,0
2867.327,RightHand,True,True,0,0,0,-0.3957238,0.4463458,-0.3728333,0.7107555,0,0,0
2867.548,Head,True,True,0.3455585,0.1181476,-0.4464878,-0.6866189,-0.001564091,0.6746942,-0.2708133,0,0,0
2867.548,LeftHand,True,True,0,0,0,-0.4126466,0.4882165,-0.2120197,0.7391989,0,0,0
2867.548,RightHand,True,True,0,0,0,-0.3957238,0.4463458,-0.3728333,0.7107555,0,0,0
2867.776,Head,True,True,0.3460072,0.1183122,-0.4465684,-0.6845781,-0.003512649,0.6745631,-0.2762341,0,0,0
2867.776,LeftHand,True,True,0,0,0,-0.4126466,0.4882165,-0.2120197,0.7391989,0,0,0
2867.776,RightHand,True,True,0,0,0,-0.3957238,0.4463458,-0.3728333,0.7107555,0,0,0
2867.986,Head,True,True,0.3465256,0.1185024,-0.4466614,-0.6821893,-0.005776431,0.6743797,-0.2824826,0,0,0
2867.986,LeftHand,True,True,0,0,0,-0.4126466,0.4882165,-0.2120197,0.7391989,0,0,0
2867.986,RightHand,True,True,0,0,0,-0.3957238,0.4463458,-0.3728333,0.7107555,0,0,0
2868.208,Head,True,True,0.3468612,0.1186254,-0.4467216,-0.6806254,-0.00724918,0.6742429,-0.2865188,0,0,0
2868.208,LeftHand,True,True,0,0,0,-0.4126466,0.4882165,-0.2120197,0.7391989,0,0,0
