time,node,valid,tracked,px,py,pz,qx,qy,qz,qw,trigger,axisX,axisY
3368.063,Head,True,True,0.2618804,0.04313731,-0.4268098,-0.2138689,-0.2055351,-0.03519256,0.9543464,0,0,0
3368.063,LeftHand,True,True,0.1694946,-0.391733,-0.2802327,-0.3028965,0.1756948,-0.3520695,0.8680047,0,0,0
3368.063,RightHand,True,True,0.5730035,-0.3553483,-0.1221061,-0.359501,-0.3354844,0.2921976,0.820262,0,0,0
3368.284,Head,True,True,0.258331,0.03897858,-0.422406,-0.1936215,-0.210143,-0.02764417,0.9579073,0,0,0
3368.284,LeftHand,True,True,0.1694946,-0.391733,-0.2802327,-0.3028965,0.1756948,-0.3520695,0.8680047,0,0,0
3368.284,RightHand,True,True,0.5730035,-0.3553483,-0.1221061,-0.359501,-0.3354844,0.2921976,0.820262,0,0,0
3368.511,Head,True,True,0.2550831,0.03754103,-0.4203888,-0.1817231,-0.2128303,-0.02520876,0.9597107,0,0,0
3368.511,LeftHand,True,True,0.1694946,-0.391733,-0.2802327,-0.3028965,0.1756948,-0.3520695,0.8680047,0,0,0
3368.511,RightHand,True,True,0.5730035,-0.3553483,-0.1221061,-0.359501,-0.3354844,0.2921976,0.820262,0,0,0
3368.732,Head,True,True,0.2553443,0.03295791,-0.4194366,-0.1668437,-0.2139192,-0.02915518,0.962056,0,0,0
3368.732,LeftHand,True,True,0.1694946,-0.391733,-0.2802327,-0.3028966,0.1756948,-0.3520694,0.8680047,0,0,0
3368.732,RightHand,True,True,0.5730035,-0.3553483,-0.1221061,-0.359501,-0.3354844,0.2921977,0.820262,0,0,0
3368.946,Head,True,True,0.258359,0.0314604,-0.4194139,-0.1586771,-0.2109602,-0.0284303,0.9641106,0,0,0
3368.946,LeftHand,True,True,0.1694946,-0.391733,-0.2802327,-0.3028966,0.1756948,-0.3520694,0.8680047,0,0,0
3368.946,RightHand,True,True,0.5730035,-0.3553483,-0.1221061,-0.359501,-0.3354844,0.2921977,0.820262,0,0,0
3369.161,Head,True,True,0.2567357,0.03417456,-0.4207828,-0.1678506,-0.2172727,-0.02611776,0.9612163,0,0,0
3369.161,LeftHand,True,True,0.1694946,-0.391733,-0.2802327,-0.3028966,0.1756948,-0.3520694,0.8680047,0,0,0
3369.161,RightHand,True,True,0.5730035,-0.3553483,-0.1221061,-0.359501,-0.3354844,0.2921977,0.820262,0,0,0
3369.366,Head,True,True,0.2574641,0.03380287,-0.4199661,-0.1677155,-0.2133167,-0.02692571,0.9621032,0,0,0
